subject no.,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
1,2.636659699,4.36612201,1.679295098,0.994190091,1.234657147,0.988413937,15.81995819,0.798015958,2.56923429,0.583989422,0.652567145,2.788485727,15.81995819,46.65391589,9.330783177,2.636659699,2.494815115,0.549372996,0.718830288,0.919857589,0.297141228,0.500402424,0.109052146,0.6811627,0.488152649,1
1,0.968746881,2.496404721,0.023834744,0.905063004,1.637701643,0.819139042,16.46869697,0.444817674,1.719745716,0.282219289,0.348338816,1.307449774,16.46869697,29.06022349,1.816263968,0.968746881,0.430815389,0.299319675,0.419254494,1.511919026,0.624941693,0.830523691,0.571768492,0.5578803,1.015298901,1
1,0.995127344,2.496404721,0.015221637,0.891486,1.608449108,0.794747288,19.90254688,0.295166829,1.608595006,0.312525494,0.422600123,1.321093621,19.90254688,34.90576709,1.837145636,0.995127344,0.41835608,0.295517765,0.4223509,0.308639682,0.632207938,0.839269556,0.579979382,0.311613652,1.188185929,1
1,0.77706147,1.149324154,0.065954927,0.421766922,0.634342294,0.177887336,4.662368823,-0.838878614,2.250929191,0.606671835,1.149254544,0.867216222,4.662368823,4.512383856,0.902476771,0.77706147,0.571630314,0.518621837,0.602987755,0.355704596,8.304327121,1.054920168,0.218104292,0.765313309,0.342417726,1
1,0.409459857,1.337496096,0.008628616,0.415638767,0.612009701,0.172755584,6.960817574,0.947783053,2.678401231,0.160816602,0.227172562,0.574674574,6.960817574,5.614264721,0.350891545,0.409459857,0.198808025,0.170838641,0.253049426,0.622118575,0.499687745,0.702918931,0.599095488,0.634891573,0.910727738,1
1,0.407692167,1.337496096,0.008628616,0.431906101,0.668435137,0.18654288,8.153843335,0.88879313,2.395549467,0.273358483,0.503095332,0.586027849,8.153843335,6.868572785,0.361503831,0.407692167,0.175787202,0.254359335,0.412140929,0.183628214,0.432986457,0.94304567,0.598395257,0.685480108,0.994188912,1
1,1.365030934,2.463968952,0.338632561,0.860770629,1.453895585,0.740926077,8.190185602,0.159849591,1.445095974,0.541834448,0.621816011,1.575038999,8.190185602,14.88448708,2.976897416,1.365030934,1.105499536,0.572062363,0.62122798,0.823533384,1.072879798,1.054920168,0.218104292,0.676040657,0.570965587,1
1,0.393497707,1.510513839,0.003134539,0.487239858,0.498681567,0.23740268,6.689461025,1.211404795,3.127928783,0.262808675,0.409255462,0.615043301,6.689461025,6.430730451,0.401920653,0.393497707,0.118292137,0.279040574,0.456619889,0.692548183,0.743027319,0.950748927,0.64600923,0.739623029,0.914114682,1
1,0.392263379,1.510513839,3.62548E-05,0.466549787,0.570241866,0.217668704,7.845267581,1.172642773,3.182588114,0.287595904,0.478491536,0.600546274,7.845267581,7.213116551,0.379637713,0.392263379,0.091639346,0.280891975,0.442341072,0.184242457,0.646625027,1.028094057,0.65364288,0.717914281,1.025715419,1
1,2.609509374,3.317535578,1.876555566,0.472585735,0.335641051,0.223337277,15.65705624,-0.073398462,2.60754101,0.542643706,1.044728018,2.644929785,15.65705624,41.97392142,8.394784284,2.609509374,2.572460389,0.58673057,0.681044594,0.245554889,10.12013159,1.054920168,0.218104292,0.563438212,0.342190148,1
